Id,Target,N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10000,1500000,2056164.384,11,1.8,0.0,9.0,6.0,1,M,F,V,B,S,J,T,D
10001,2993000,3572619.048,8,2.5,8.0,6.0,9.0,2,A,F,V,B,S,J,N,1
10002,9500000,9813953.488,6,3.5,2.0,9.0,0.0,1,A,B,K,B,S,W,D,D
10003,4056000,4529545.455,5,2.5,4.0,6.0,4.0,1,A,F,K,BG,S,4,T,1
10004,3543000,3823255.814,10,3.5,1.0,5.0,4.0,1,A,F,K,BG,S,4,T,1
10005,2000000,2597435.897,12,2.4,2.0,2.0,6.0,1,A,F,V,B,C,K,M,8
10006,4608000,4895348.837,1,1.6,2.0,2.0,8.0,1,A,F,V,B,S,N,M,T
10007,5100000,5653164.557,9,3.5,2.0,9.0,8.0,2,A,A,K,B,C,4,J,G
10008,1800000,2009090.909,17,2.8,5.0,6.0,5.0,1,A,B,K,B,S,W,D,B
10009,4410000,4938095.238,4,2.0,3.0,9.0,4.0,2,A,A,B,B,C,K,M,H
10010,3379000,4283950.617,11,3.0,8.0,6.0,5.0,1,A,B,K,B,S,J,T,H
10011,3336000,4006976.744,10,3.2,6.0,9.0,9.0,1,A,A,K,B,C,W,V,G
10012,1397000,1535632.184,17,2.4,3.0,2.0,9.0,1,A,F,V,B,S,W,A,U
10013,3023000,3195789.474,1,1.6,8.0,5.0,8.0,3,A,F,V,B,S,Z,9,4
10014,1807000,2398717.949,9,2.4,1.0,5.0,3.0,1,M,F,V,B,S,K,M,H
10015,1100000,1962820.513,18,3.0,8.0,3.0,0.0,1,A,A,V,BG,V,J,A,4
10016,1300000,1519277.108,18,2.4,8.0,8.0,3.0,1,A,A,V,B,S,W,A,U
10017,1423000,1551282.051,10,1.6,5.0,0.0,1.0,1,M,F,V,B,L,T,M,B
10018,945000,1221794.872,15,1.6,6.0,3.0,8.0,1,M,F,V,B,L,T,M,B
10019,1555000,1950000.0,8,1.4,9.0,2.0,2.0,1,A,F,V,B,S,K,L,1
10020,2014000,2608974.359,4,1.6,8.0,6.0,2.0,1,A,F,V,B,S,K,L,1
10021,1878000,1903703.704,15,2.2,0.0,2.0,2.0,1,A,B,K,B,S,W,B,A
10022,3162000,3185714.286,2,1.6,6.0,3.0,2.0,3,A,F,V,B,S,Z,9,4
10023,3824000,4546987.952,1,2.0,8.0,7.0,1.0,1,A,A,V,B,C,X,7,L
10024,2297000,2546428.571,13,2.4,1.0,9.0,9.0,2,A,F,K,B,S,4,T,1
10025,3483000,4286419.753,11,3.0,4.0,7.0,1.0,1,A,B,K,B,S,J,T,H
10026,4277000,4778651.685,6,2.4,3.0,1.0,5.0,2,A,F,K,B,S,X,W,7
10027,1400000,1672839.506,14,2.5,3.0,0.0,2.0,1,A,F,K,B,S,1,N,4
10028,2300000,3009756.098,9,1.8,3.0,5.0,5.0,1,M,F,V,B,S,J,M,Z
10029,3672000,3803333.333,13,3.0,4.0,5.0,1.0,3,A,A,K,B,C,J,T,J
10030,1069000,1247435.897,14,1.8,9.0,4.0,4.0,1,M,F,V,BG,S,W,F,0
10031,10485000,11125555.56,3,2.7,9.0,5.0,0.0,2,A,A,V,BG,V,J,T,E
10032,2160000,2295555.556,8,1.5,3.0,3.0,8.0,3,A,F,V,B,S,J,M,B
10033,6000000,6490526.316,1,2.0,9.0,1.0,3.0,3,A,A,K,B,C,T,M,A
10034,3796000,4221794.872,10,2.4,1.0,6.0,4.0,1,A,A,V,B,C,J,T,M
10035,3489000,4051724.138,3,1.6,2.0,3.0,5.0,1,A,F,V,B,S,K,N,A
10036,2000000,2542857.143,8,1.6,6.0,8.0,5.0,2,A,F,V,B,S,J,M,Z
